Name,available,files,finish_date,price,purchase_date
La Roche-Posay Anthelios XL SPF 50+ Dry Touch Gel-Cream (50ml),Yes,cosmetics/photo.heic,,211 bolivianos,2026/02/18
CeraVe Moisturizing Lotion (473ml),Yes,cosmetics/photo%201.heic,,261 bolivianos,2026/02/18
L'Oréal Elvive Dream Lengths — No Haircut Cream,Yes,cosmetics/photo%202.heic,,80 bolivianos,2026/02/18
Round Lab Birch Juice Sunscreen SPF50+ (50ml),No,cosmetics/photo%203.heic,,246 bolivianos,2025/10/18
Neotretin M Tretinoína 0.025% Crema (30g),No,cosmetics/photo%204.heic,2026/04/30,200 bolivianos,2025/10/06
NIVEA Med Repair by Labello — Protector Labial FPS 15 (4.8g),Yes,cosmetics/IMG_8473.jpeg,,80 bolivianos,2026/03/03
Acondicionador Elvive Glycolic Glosuperstay - Cabello Opaco X 370Ml,Yes,cosmetics/photo%205.heic,,65 bolivianos,2026/04/02
Garnier Express Aclara Anti-imperfecciones Sérum (30ml),Yes,cosmetics/photo%206.heic,,160 bolivianos,2026/04/07
La Roche Posay Anthelios Gel-crema FPS50+ (SIN COLOR) (50ml),No,cosmetics/photo%207.heic,,240 bolivianos,2026/04/07
Neotretin M Tretinoína 0.025% Crema (30g),Yes,cosmetics/photo%208.heic,,"180 bolivianos ",2026/04/28